2024-09-27 00:06:50.921 +02:00 [INF] Application is shutting down...
2024-09-27 11:50:47.683 +02:00 [INF] Now listening on: https://localhost:7047
2024-09-27 11:50:47.704 +02:00 [INF] Now listening on: http://localhost:5047
2024-09-27 11:50:47.705 +02:00 [INF] Application started. Press Ctrl+C to shut down.
2024-09-27 11:50:47.705 +02:00 [INF] Hosting environment: Development
2024-09-27 11:50:47.705 +02:00 [INF] Content root path: /Users/iseaman/RiderProjects/TaskManagementSystem/UserService
2024-09-27 11:50:57.289 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 11:51:40.977 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 11:55:48.074 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 12:01:24.100 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 12:43:15.864 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 13:02:08.177 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 13:02:39.553 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 13:03:47.068 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 13:06:40.142 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 13:08:17.955 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 13:18:20.719 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 13:18:38.483 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 13:19:07.782 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 13:26:53.528 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 13:27:31.118 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 13:29:22.649 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:26:25.240 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:30:03.739 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:31:38.256 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:33:47.965 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:42:18.460 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:43:33.307 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:46:54.929 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:47:49.486 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:48:55.953 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:51:55.822 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:52:40.471 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:53:02.752 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 14:55:19.535 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 16:00:13.153 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 16:02:51.910 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 16:10:02.238 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 16:17:46.182 +02:00 [INF] Login Attempt for admin@tms.com 
2024-09-27 16:23:48.048 +02:00 [INF] Login Attempt for admin@tms.com 
